id,title,filtered_words_str,label
R129,New Report on Election,"language,speak,form,sell,alone.,experts,discuss,ongoing,developments,election.",REAL
R227,New Report on Climate Change,"step,soon,buy,practice,write,expert,political.,well,side,company,military,under.,rather,live,focus,nation,test,form.,experts,discuss,ongoing,developments,climate,change.",REAL
F231,Aliens Confirmed by Sources,"officer,stock,anyone,relationship.,father,number,leader,scene.,—,shocking,claims,aliens,surface,internet.",FAKE
R066,New Report on Policy,"population,worry,vote,true,radio,project.,power,reflect,data,glass,short,despite.,manage,production,meet,child,mean.,city,modern,authority,father,meeting.,experts,discuss,ongoing,developments,policy.",REAL
F095,Mind Control Confirmed by Sources,"increase,simply,pick,billion.,discussion,attack,imagine,republican,certainly.,—,shocking,claims,mind,control,surface,internet.",FAKE
R174,New Report on Policy,"time,economic,other.,talk,art,gun,per,teacher,either,power.,experts,discuss,ongoing,developments,policy.",REAL
R201,New Report on Public Health,"news,must,food,final,scientist,throughout.,federal,group.,return,page,get,response,nor.,experts,discuss,ongoing,developments,public,health.",REAL
R072,New Report on Education,"organization,step,understand,shake.,theory,magazine,later,turn.,home,last,less.,experts,discuss,ongoing,developments,education.",REAL
R064,New Report on Research,"congress,group,mr,live,mr,every,during.,despite,home.,experts,discuss,ongoing,developments,research.",REAL
F037,Miracle Drug Confirmed by Sources,"great,author,edge,able,economic,speech,within.,morning,suffer,sister,force.,—,shocking,claims,miracle,drug,surface,internet.",FAKE
R170,New Report on Technology Breakthrough,"debate,blood,situation,police,job,use.,price,politics,truth,beat,occur,rich,teacher.,experts,discuss,ongoing,developments,technology,breakthrough.",REAL
F110,Celebrity Scandal Confirmed by Sources,"view,national,manage,president,thus.,million,individual,scene,left,guess.,story,western,bring,country.,—,shocking,claims,celebrity,scandal,surface,internet.",FAKE
F048,Secret Cure Confirmed by Sources,"despite,media,school,scene,everybody,success.,deep,stuff,still,scene.,land,condition,public,young,national,church.,firm,trade,method,plan,address.,—,shocking,claims,secret,cure,surface,internet.",FAKE
F082,Hoax Confirmed by Sources,"staff,student,method.,late,pick,although,moment.,—,shocking,claims,hoax,surface,internet.",FAKE
F187,Miracle Drug Confirmed by Sources,"recognize,structure.,—,shocking,claims,miracle,drug,surface,internet.",FAKE
F027,Miracle Drug Confirmed by Sources,"sea,must,enjoy,write,employee.,alone,field,six,crime,section,road,hot.,—,shocking,claims,miracle,drug,surface,internet.",FAKE
